figure_id,caption
w0011-p0012-f00,"Above: a mixed arable and dairy farm growing cereal and vegetables for sale as well as for the maintenance of a small herd of cows. This farm uses no imported cattle food. Below: a specialist dairy farm on which the grass is managed scientifically and additional feeding stuff is imported. Compare the equipment, labour and sales."
w0011-p0013-f00,"Of the physical factors that condition British farming systems the most important are rainfall and temperature. The left-hand map shows the counties which had the highest concentrations of cattle and sheep in the 1930's, and the largest acreages both of the principal cereals and of temporary and permanent pastures. The dividing line between oats and the other cereals was determined by the summer temperature; rainfall determined the boundary between permanent and temporary grass. Pigs and poultry have been omitted as they were maintained almost entirely on imported feeding stuffs.
The right-hand map shows the way in which British agriculture is likely to develop during the next 25 years. The new varieties of grass produced by plant-breeders have made the old boundaries out-of-date. A general extension of grazing leys would make it possible to double the pre-war output of milk without importing more feeding stuffs. Pigs could also be largely maintained on home-grown food."
w0011-p0015-f01,"Coventry's boundaries have been enlarged four times since 1890, while the population has grown fivefold. The time has come when simply adding new administrative districts to the outside edges of the city is just not enough–re-organisation must start from the centre and be drastic in its methods."
w0011-p0020-f01,"Coventry depends for its prosperity on one group of industries, shown in red. There are only the workers shown in green to provide Coventry people with goods and services."
w0011-p0038-f01,"This chart shows how a Tootal product comes into being. The production manager is the key man, but every material must pass the testing department-two out of every three samples are rejected. Designs come partly from outside studios, all other stages shown here are within the Tootal organisation. Ties, handkerchiefs, dresses, dressing-gowns and piece goods are sent all over the world."
w0010-p0025-01,"Hand-craftsmen in their own workshops gave place to factory-workers with steam-powered, belt-driven machinery. Electric power made it possible for machines to have individual motors, driven from local electricity-supply. Diesel engines, using coal converted into oil, gave power to isolated workshops, dependent however on the limitations of transport to maintain the fuel-supply. Atomic engines, self-contained and self-sustaining, can make industries ""foot-loose"" —geographically unfettered by natural power-resources."
w0010-p0026-01,"A comparison of the energy-values of coal and uranium. Uranium ore, obtained from pitchblende, consists of both U235 and U238. For every 140 parts of U238 is found one part of U235 which produces uranium fission and releases atomic energy. U235 is capable of releasing more than a million times as much energy as its equal weight of coal. Expressed in terms of equal weights of pitchblende and coal (see above), atomic energy is represented as 10,000 dots to the single speck of coal-energy. Extraction of uranium ore from ditchblende and the isolation of U235 from the ore involve elaborate and expensive processes and vast industrial pants and the atomic engine for converting energy into a motive power is still very primitive. In time it will be improved and atomic energy will be widely available."
w0010-p0026-02,"The atomic engine, when perfected, will be self-supporting. Areas of the world which have remained undeveloped because of remoteness from sources of coal or oil or hydro-electric power will be opened up. Chart below (left), shows the distribution of iron and coal resources according to continents. Each blue symbol represents 5,000,000,000 tons of iron and each black symbol represents 250,000,000,000 tons of coal. Hitherto the distribution of industry has coincided with the distribution of iron and coal."
w0010-p0027-02,"The right-hand chart expresses, in terms of population, the relative stages of development to-day. Each symbol represents 50,000,000 population. Red stands for modern industry; blue for ancient forms of handicraft and green for primitive forms. so while 750,000,000 people have been aftected by modern industry 1,200,000,000 have remained outside its influences. Atomic energy can provide motive power for industry anywhere. It will provide power sources for peoples now dependent on handcrats. It will open up new areas for agricultural development and raise the living standard of people everywhere. Plastics from growing plants and light metals which are scattered over the surface of the globe will be developed and will completely change the world pattern dictated by the coal-iron economy. Atomic dower can be used to move mountains, change river courses or create great dams. By changing contours it can even alter climate. So there's hope for us yet!"
w0010-p0049-00,"At the top and right-hand side are the functional and administrative departments; across the bottom are the nine regional departments and also ""Communications"" which serves the whole organisation."
w0010-p0050-01,"Those serving in regional departments are not specially chosen for their personal knowledge of the countries concerned, but for experience in dealing with diplomatic problems on Foreign Office lines. When this chart was compiled only one of the permanent officials in the Northern Department had been stationed in a capital concerned."
w0010-p0060-01,Symbols on the left represent independent units. U.S. interests penetrate the Rank Organisation and the A.B.C. group in varying degrees-up to 37½% in the latter. Only independents are outside the U.S. sphere—there are no independent all-British newsreels.
w0010-p0060-02,"The symbols on the white ground represent seats in independently owned cinemas. Note that the A.B.C. group has no seats in the West End In addition to their own, American interests have a
large stake in the Rank cinema circuits. The independent cinemas are almost all very small (under 600 seats) and five or six concentrate on foreign language films."
